,标题,发布时间,链接
0,国家外汇管理局公布2025年2月末外汇储备规模数据,2025-03-07,https://www.safe.gov.cn/safe/2025/0306/25834.html
1,国家外汇管理局公布2025年1月我国国际收支货物和服务贸易数据,2025-02-28,https://www.safe.gov.cn/safe/2025/0228/25805.html
2,国家外汇管理局公布2025年1月中国外汇市场交易概况数据,2025-02-28,https://www.safe.gov.cn/safe/2025/0228/25806.html
3,中国人民银行、国家外汇局召开2025年全面从严治党暨纪检监察工作会议,2025-02-21,https://www.safe.gov.cn/safe/2025/0221/25794.html
4,国家外汇管理局党组传达学习习近平总书记在民营企业座谈会上的重要讲话精神,2025-02-20,https://www.safe.gov.cn/safe/2025/0220/25789.html
5,国家外汇管理局公布2025年1月银行结售汇和银行代客涉外收付款数据,2025-02-18,https://www.safe.gov.cn/safe/2025/0218/25787.html
6,国家外汇管理局副局长、新闻发言人李斌就2024年国际收支状况答记者问,2025-02-14,https://www.safe.gov.cn/safe/2025/0214/25775.html
7,国家外汇管理局公布2024年四季度及全年我国国际收支平衡表初步数,2025-02-14,https://www.safe.gov.cn/safe/2025/0214/25776.html
8,国家外汇管理局公布2025年1月末外汇储备规模数据,2025-02-07,https://www.safe.gov.cn/safe/2025/0206/25747.html
9,国家外汇管理局公布2025年主要统计数据发布时间表,2025-02-06,https://www.safe.gov.cn/safe/2025/0206/25749.html
10,国家外汇管理局公布2024年12月中国外汇市场交易概况数据,2025-01-24,https://www.safe.gov.cn/safe/2025/0124/25717.html
11,国家外汇管理局公布2024年12月我国国际收支货物和服务贸易数据,2025-01-24,https://www.safe.gov.cn/safe/2025/0124/25703.html
12,国家外汇管理局更新发布《现行有效外汇管理主要法规目录（截至2024年12月31日...,2025-01-24,https://www.safe.gov.cn/safe/2025/0124/25709.html
13,中国人民银行 商务部 金融监管总局 中国证监会 国家外汇局  联合印发《关于金融...,2025-01-23,https://www.safe.gov.cn/safe/2025/0123/25701.html
14,国家外汇管理局举办2025年退休干部新春团拜会,2025-01-20,https://www.safe.gov.cn/safe/2025/0117/25674.html
15,国新办举行“中国经济高质量发展成效”系列新闻发布会 介绍金融支持经济高质量发展有...,2025-01-14,https://www.safe.gov.cn/safe/2025/0114/25654.html
16,国家外汇管理局公布2024年12月银行结售汇和银行代客涉外收付款数据,2025-01-14,https://www.safe.gov.cn/safe/2025/0114/25653.html
17,国家外汇管理局外汇研究中心博士后科研工作站公开招收博士后研究人员的公告,2025-01-13,https://www.safe.gov.cn/safe/2025/0113/25648.html
18,中国外汇市场指导委员会会议在京召开,2025-01-13,https://www.safe.gov.cn/safe/2025/0113/25640.html
19,中国人民银行、国家外汇局上调跨境融资宏观审慎调节参数,2025-01-13,https://www.safe.gov.cn/safe/2025/0113/25639.html
20,国家外汇管理局公布2024年12月末外汇储备规模数据,2025-01-07,https://www.safe.gov.cn/safe/2025/0107/25624.html
21,2025年全国外汇管理工作会议在京召开,2025-01-04,https://www.safe.gov.cn/safe/2025/0104/25618.html
22,中国人民银行行长潘功胜看望慰问外汇储备经营管理人员,2024-12-31,https://www.safe.gov.cn/safe/2024/1231/25603.html
23,国家外汇管理局举行新任职干部宪法宣誓仪式,2024-12-31,https://www.safe.gov.cn/safe/2024/1231/25600.html
24,国家外汇管理局副局长、新闻发言人李斌就2024年9月末中国外债数据有关问题答记者...,2024-12-27,https://www.safe.gov.cn/safe/2024/1227/25586.html
25,国家外汇管理局公布2024年11月我国国际收支货物和服务贸易数据,2024-12-27,https://www.safe.gov.cn/safe/2024/1227/25570.html
26,国家外汇管理局副局长、新闻发言人李斌就2024年前三季度国际收支和9月末国际投资...,2024-12-27,https://www.safe.gov.cn/safe/2024/1227/25569.html
27,国家外汇管理局公布2024年三季度及前三季度我国国际收支平衡表,2024-12-27,https://www.safe.gov.cn/safe/2024/1227/25571.html
28,国家外汇管理局公布2024年9月末我国国际投资头寸表,2024-12-27,https://www.safe.gov.cn/safe/2024/1227/25572.html
29,国家外汇管理局公布2024年11月中国外汇市场交易概况数据,2024-12-27,https://www.safe.gov.cn/safe/2024/1227/25587.html
30,国家外汇管理局发布银行外汇业务尽职免责规定 更好服务实体经济高质量发展,2024-12-27,https://www.safe.gov.cn/safe/2024/1227/25579.html
31,国家外汇管理局发布 《银行外汇风险交易报告管理办法（试行）》,2024-12-27,https://www.safe.gov.cn/safe/2024/1227/25574.html
32,国家外汇管理局公布2024年9月末中国全口径外债数据,2024-12-27,https://www.safe.gov.cn/safe/2024/1227/25573.html
33,国家外汇管理局公布2024年9月末中国银行业对外金融资产负债数据,2024-12-26,https://www.safe.gov.cn/safe/2024/1226/25564.html
34,朱鹤新局长会见香港证监会主席黄天祐、行政总裁梁凤仪一行,2024-12-23,https://www.safe.gov.cn/safe/2024/1223/25554.html
35,中国人民银行、国家外汇管理局持续优化跨国公司本外币一体化资金池业务试点政策,2024-12-17,https://www.safe.gov.cn/safe/2024/1217/25516.html
36,国家外汇管理局党组传达学习中央经济工作会议精神,2024-12-16,https://www.safe.gov.cn/safe/2024/1216/25502.html
37,朱鹤新局长会见香港金管局总裁余伟文和香港银行公会代表团,2024-12-16,https://www.safe.gov.cn/safe/2024/1216/25539.html
38,国家外汇管理局副局长、新闻发言人李斌就2024年11月份外汇收支形势答记者问,2024-12-16,https://www.safe.gov.cn/safe/2024/0614/25492.html
39,国家外汇管理局公布2024年11月银行结售汇和银行代客涉外收付款数据,2024-12-16,https://www.safe.gov.cn/safe/2024/1216/25498.html
40,国家外汇管理局公布2024年11月末外汇储备规模数据,2024-12-07,https://www.safe.gov.cn/safe/2024/1206/25459.html
